[t,theta1(t),theta2(t)] 
[1.309999999999994, 0.053637860684365025, 0.16042267553958206] 
[1.314999999999994, 0.05586638772689763, 0.15724876646955604] 
[1.3199999999999938, 0.058107119426797305, 0.1540238454030064] 
[1.3249999999999937, 0.06035818854745324, 0.15075056676774298] 
[1.3299999999999936, 0.0626176980065456, 0.14743163067365475] 
[1.3349999999999935, 0.06488372282363855, 0.1440697801149543] 
[1.3399999999999934, 0.06715431219256009, 0.14066779800485035] 
[1.3449999999999933, 0.06942749167336246, 0.13722850405020967] 
[1.3499999999999932, 0.07170126549757133, 0.13375475147523758] 
[1.354999999999993, 0.07397361897937671, 0.13024942360462974] 
[1.359999999999993, 0.07624252102440968, 0.12671543031800392] 
[1.3649999999999929, 0.07850592672680134, 0.12315570438869103] 
[1.3699999999999928, 0.08076178004434874, 0.11957319772112754] 
[1.3749999999999927, 0.08300801654082984, 0.11597087750212892] 
[1.3799999999999926, 0.08524256618383115, 0.11235172228221807] 
[1.3849999999999925, 0.08746335618588447, 0.10871871800391887] 
[1.3899999999999924, 0.08966831387626774, 0.10507485399449011] 
[1.3949999999999922, 0.09185536959051248, 0.10142311894095911] 
[1.3999999999999921, 0.09402245956448471, 0.09776649686551017] 
[1.404999999999992, 0.09616752881986985, 0.09410796311928728] 
[1.409999999999992, 0.09828853402799537, 0.09045048041248176] 
[1.4149999999999918, 0.10038344633916592, 0.08679699489819813] 
[1.4199999999999917, 0.10245025416506155, 0.08315043232702969] 
[1.4249999999999916, 0.10448696590225158, 0.07951369428854028] 
[1.4299999999999915, 0.10649161258549884, 0.07588965455495092] 
[1.4349999999999914, 0.10846225046025934, 0.07228115554128538] 
[1.4399999999999913, 0.11039696346460856, 0.06869100489505348] 
[1.4449999999999912, 0.11229386561173656, 0.06512197222726415] 
[1.449999999999991, 0.11415110326513189, 0.061576785995181876] 
[1.454999999999991, 0.11596685729960779, 0.05805813054579112] 
[1.4599999999999909, 0.11773934514239459, 0.05456864332743529] 
[1.4649999999999908, 0.1194668226896166, 0.05111091227557082] 
[1.4699999999999906, 0.12114758609457366, 0.047687473377044036] 
[1.4749999999999905, 0.12277997342534301, 0.04430080841577876] 
[1.4799999999999904, 0.12436236619029256, 0.040953342901274614] 
[1.4849999999999903, 0.12589319073113897, 0.037647444179877344] 
[1.4899999999999902, 0.12737091948418308, 0.034385419727408176] 
[1.4949999999999901, 0.12879407211129942, 0.03116951562044328] 
[1.49999999999999, 0.13016121650313947, 0.028001915182327763] 
[1.50499999999999, 0.1314709696578214, 0.024884737798901085] 
[1.5099999999999898, 0.1327219984391179, 0.021820037897908838] 
[1.5149999999999897, 0.13391302021881415, 0.018809804085185212] 
[1.5199999999999896, 0.13504280340848795, 0.01585595842991349] 
[1.5249999999999895, 0.13611016788646185, 0.01296035589061012] 
[1.5299999999999894, 0.13711398532609423, 0.010124783872930539] 
[1.5349999999999893, 0.1380531794319127, 0.007350961909959622] 
[1.5399999999999892, 0.13892672609035223, 0.004640541455323126] 
